ID,X1,X2,X3,X4,X5,Y
400,07,22,25,21,24,3
401,02,21,18,20,26,4
402,05,21,18,21,25,4
403,02,20,19,19,23,4
404,05,21,23,20,23,4
405,02,24,19,23,25,4
406,02,25,19,21,27,4
407,05,21,19,21,26,4
408,05,22,20,20,25,4
409,04,21,20,18,24,4
410,02,22,05,19,23,4
411,04,22,20,19,23,4
412,04,22,24,20,25,4
413,03,22,20,20,24,4
414,03,23,21,20,24,4
415,05,21,20,20,24,4
416,02,22,20,21,24,4
417,05,22,19,21,26,4
418,05,21,19,22,27,4
419,05,20,20,20,24,4
420,04,20,20,21,25,4
421,05,20,19,20,25,4
422,04,20,20,22,24,4
423,04,20,19,22,27,4
424,02,20,21,21,24,4
425,04,16,21,20,24,4
426,04,16,23,21,23,4
427,04,17,22,21,23,4
428,04,17,21,21,23,4
429,05,16,22,22,23,4
430,04,14,22,21,23,4
431,04,14,22,21,23,4
432,02,13,20,27,24,4
433,06,13,22,26,23,4
434,07,12,22,26,24,4
435,03,13,22,26,23,4
436,02,12,23,26,24,4
437,02,12,21,26,27,4
438,03,12,21,26,26,4
439,02,13,21,26,26,4
440,02,11,21,26,26,4
441,07,13,22,25,24,4
442,02,13,24,25,24,4
443,03,12,24,26,24,4
444,04,14,21,26,26,4
445,04,15,20,26,27,4
446,03,22,25,17,18,4
447,03,20,25,18,18,4
448,02,19,26,18,19,4
449,03,21,24,19,17,4
450,04,20,24,18,16,4
451,03,22,25,17,18,4
452,03,21,24,16,18,4
453,03,19,25,19,18,4
454,03,18,26,19,19,4
455,03,19,24,19,18,4
456,03,19,25,18,19,4
457,03,18,25,19,19,4
458,04,19,26,18,19,4
459,04,19,26,18,19,4
460,04,20,26,19,19,4
461,04,20,26,19,19,4
462,03,19,25,18,18,4
463,03,19,25,18,18,4
464,03,18,23,22,18,4
465,03,19,23,22,16,4
466,03,19,23,22,16,4
467,03,21,24,21,18,4
468,04,17,24,18,16,4
469,04,17,24,18,16,4
470,05,16,22,19,15,4
471,05,16,23,23,18,4
472,05,15,21,19,17,4
473,05,15,21,19,17,4
474,03,15,23,18,17,4
475,03,15,23,18,17,4
476,05,12,24,17,17,4
477,05,12,24,17,17,4
478,05,15,23,16,15,4
479,05,15,23,16,15,4
480,04,15,22,17,18,4
481,04,15,22,17,18,4
482,04,15,23,18,17,4
483,04,15,23,18,17,4
484,04,16,22,17,16,4
485,04,16,22,17,16,4
486,04,15,22,21,17,4
487,04,15,22,21,17,4
488,04,15,22,19,17,4
489,04,15,22,19,17,4
490,05,15,22,19,16,4
491,05,15,22,19,16,4
492,05,14,22,19,15,4
493,05,14,22,19,15,4
494,05,15,22,21,17,4
495,05,15,22,21,17,4
496,04,16,22,21,15,4
497,04,16,22,21,15,4
498,03,16,21,21,17,4
499,03,16,21,21,17,4
500,05,15,23,20,18,4
501,03,21,24,07,20,5
502,04,21,24,09,20,5
503,02,20,24,07,19,5
504,03,23,24,06,20,5
505,04,23,25,06,19,5
506,03,22,25,06,21,5
507,03,23,24,06,20,5
508,02,22,24,09,20,5
509,03,21,24,07,20,5
510,03,22,23,09,20,5
511,05,21,24,06,19,5
512,02,22,23,08,18,5
513,03,19,23,05,19,5
514,03,23,24,07,19,5
515,04,24,24,09,18,5
516,02,23,23,07,18,5
517,04,25,24,06,19,5
518,03,23,25,05,19,5
519,02,16,27,14,22,5
520,02,28,20,16,23,5
521,03,26,20,16,23,5
522,01,27,20,16,24,5
523,03,27,21,16,24,5
524,05,27,21,15,26,5
525,03,28,20,16,26,5
526,05,28,20,15,26,5
527,03,28,20,15,26,5
528,02,15,29,13,24,5
529,03,15,26,18,19,5
530,02,14,28,17,20,5
531,04,15,29,16,18,5
532,02,15,27,16,18,5
533,03,15,29,16,18,5
534,04,12,25,16,21,5
535,01,22,30,12,24,5
536,01,24,30,12,24,5
537,01,26,30,13,24,5
538,01,27,29,14,24,5
539,01,22,29,13,23,5
540,01,22,29,24,23,5
541,01,22,29,24,23,5
542,01,20,28,15,23,5
543,01,20,28,15,23,5
544,01,20,27,15,24,5
545,01,20,27,15,24,5
546,02,19,26,15,23,5
547,02,19,27,13,21,5
548,02,19,25,13,23,5
549,02,21,26,13,23,5
550,02,21,26,13,24,5
551,01,19,30,15,21,5
552,01,19,30,14,20,5
553,01,19,30,14,20,5
554,01,19,30,15,19,5
555,01,19,30,15,19,5
556,01,18,28,13,19,5
557,01,18,28,13,19,5
558,01,17,29,13,18,5
559,01,17,29,13,18,5
560,01,20,29,10,19,5
561,01,19,27,13,19,5
562,01,19,27,13,19,5
563,01,18,30,13,18,5
564,01,18,30,13,18,5
565,01,17,27,14,22,5
566,01,19,26,15,23,5
567,01,19,26,15,23,5
568,01,26,25,15,24,5
569,01,17,28,16,22,5
570,01,17,28,16,22,5
571,01,22,26,16,22,5
572,01,22,26,16,22,5
573,01,21,26,15,20,5
574,01,21,26,15,20,5
575,01,23,26,15,20,5
576,01,23,26,15,20,5
577,01,21,26,15,20,5
578,01,22,27,15,21,5
579,01,22,27,15,21,5
580,01,25,26,15,20,5
581,01,25,26,15,20,5
582,01,23,25,17,21,5
583,01,23,25,17,21,5
584,01,25,29,15,20,5
585,01,25,29,15,20,5
586,01,22,29,15,22,5
587,01,22,29,15,22,5
588,01,22,26,15,21,5
589,01,22,26,15,21,5
590,01,22,26,15,21,5
591,01,22,26,15,21,5
592,01,26,26,15,22,5
593,01,26,26,15,22,5
594,01,22,27,15,22,5
595,01,22,27,15,22,5
596,01,25,25,16,22,5
597,01,25,25,16,22,5
598,01,25,27,15,22,5
599,01,25,27,15,22,5
600,01,27,20,16,24,5
601,13,19,24,21,19,6
602,13,19,23,20,21,6
603,12,21,22,20,20,6
604,12,19,23,20,20,6
605,12,20,23,20,21,6
606,13,20,24,18,22,6
607,11,20,22,20,21,6
608,13,19,24,18,21,6
609,12,20,22,19,21,6
610,12,18,24,18,20,6
611,13,20,23,19,21,6
612,13,20,25,19,21,6
613,12,21,24,19,20,6
614,13,20,24,19,21,6
615,13,21,24,18,20,6
616,10,21,26,16,22,6
617,07,26,28,19,21,6
618,08,26,26,17,21,6
619,07,26,27,20,20,6
620,06,22,28,19,21,6
621,06,24,28,21,20,6
622,07,23,27,21,21,6
623,08,25,28,21,21,6
624,08,24,29,24,19,6
625,10,27,28,23,19,6
626,10,25,29,24,19,6
627,09,23,27,23,17,6
628,10,23,28,23,17,6
629,10,21,24,25,19,6
630,12,20,26,23,23,6
631,13,17,25,21,22,6
632,13,21,26,23,22,6
633,13,28,27,24,18,6
634,12,20,30,18,11,6
635,09,19,31,18,11,6
636,12,19,28,17,22,6
637,14,17,29,16,20,6
638,13,15,30,15,21,6
639,14,18,27,17,20,6
640,12,19,29,16,22,6
641,12,15,28,17,21,6
642,09,17,28,15,20,6
643,12,17,29,15,20,6
644,12,15,27,15,21,6
645,12,16,29,11,20,6
646,12,17,28,15,20,6
647,11,17,28,15,20,6
648,11,17,29,14,21,6
649,11,17,26,15,20,6
650,11,16,28,15,20,6
651,12,16,30,14,21,6
652,12,14,29,15,21,6
653,11,16,27,16,21,6
654,12,17,26,16,20,6
655,12,15,28,16,20,6
656,12,15,27,16,20,6
657,12,15,28,13,20,6
658,12,15,25,16,21,6
659,12,11,25,17,20,6
660,12,15,28,16,20,6
661,10,15,28,16,22,6
662,12,13,28,14,20,6
663,12,13,28,14,20,6
664,12,12,28,16,21,6
665,02,14,26,22,24,6
666,02,14,26,23,24,6
667,02,14,26,23,24,6
668,02,13,25,24,24,6
669,02,13,27,25,27,6
670,01,12,28,24,25,6
671,01,12,28,24,25,6
672,02,12,27,23,25,6
673,02,12,27,23,25,6
674,02,11,28,24,26,6
675,02,11,28,24,26,6
676,02,13,26,24,27,6
677,02,13,26,24,27,6
678,02,11,29,21,27,6
679,01,11,30,18,27,6
680,02,10,27,21,26,6
681,02,10,27,21,26,6
682,02,11,29,21,26,6
683,02,10,29,24,27,6
684,02,10,29,24,27,6
685,02,11,28,24,27,6
686,02,11,28,24,27,6
687,02,11,28,25,26,6
688,02,11,28,25,26,6
689,01,10,29,23,27,6
690,01,10,29,23,27,6
691,01,14,27,21,25,6
692,01,14,27,21,25,6
693,01,13,27,21,23,6
694,01,13,27,21,23,6
695,01,15,27,23,24,6
696,01,15,27,23,24,6
697,02,10,29,24,27,6
698,02,10,29,24,27,6
699,02,11,28,24,27,6
700,02,11,28,24,27,6
701,14,27,30,13,18,7
702,14,27,30,12,18,7
703,14,27,30,12,18,7
704,12,26,27,12,18,7
705,13,26,31,13,19,7
706,16,26,29,14,20,7
707,12,28,31,15,19,7
708,15,27,29,15,21,7
709,15,20,28,16,20,7
710,17,20,31,17,19,7
711,15,20,29,16,19,7
712,19,20,30,18,13,7
713,19,27,31,19,14,7
714,17,26,29,20,14,7
715,16,21,30,18,13,7
716,17,23,26,17,13,7
717,16,23,28,18,13,7
718,17,23,25,18,13,7
719,15,22,27,18,14,7
720,16,24,27,18,14,7
721,17,25,26,19,14,7
722,12,27,25,13,15,7
723,13,27,25,14,16,7
724,13,26,28,14,16,7
725,14,26,28,14,14,7
726,12,27,27,15,12,7
727,14,26,28,14,15,7
728,14,25,27,15,15,7
729,14,26,27,15,16,7
730,14,26,28,14,15,7
731,13,25,24,14,15,7
732,12,24,28,16,13,7
733,14,27,28,16,12,7
734,18,26,31,15,17,7
735,14,27,31,15,16,7
736,12,27,30,14,15,7
737,13,26,28,13,15,7
738,13,27,27,13,13,7
739,15,26,28,13,16,7
740,13,28,31,14,15,7
741,14,28,30,15,13,7
742,14,25,31,19,14,7
743,17,27,25,20,14,7
744,17,27,27,18,15,7
745,17,23,31,18,14,7
746,19,21,30,18,14,7
747,19,20,31,18,14,7
748,18,21,28,19,16,7
749,17,23,26,19,15,7
750,18,22,28,19,16,7
751,15,25,28,20,15,7
752,16,24,25,18,15,7
753,16,22,28,19,16,7
754,17,20,23,19,15,7
755,17,21,30,18,15,7
756,16,21,31,18,14,7
757,15,24,22,17,14,7
758,16,22,28,18,14,7
759,16,20,27,19,15,7
760,17,20,25,18,14,7
761,18,17,28,18,14,7
762,19,20,25,20,13,7
763,17,26,28,19,14,7
764,18,21,24,19,13,7
765,13,21,30,20,13,7
766,19,20,30,20,12,7
767,13,19,23,21,12,7
768,13,19,30,22,13,7
769,20,19,28,22,13,7
770,14,25,29,13,16,7
771,14,25,27,14,20,7
772,14,25,27,14,20,7
773,14,22,27,16,21,7
774,14,27,26,18,21,7
775,14,25,27,17,16,7
776,14,23,27,17,20,7
777,15,20,30,15,17,7
778,16,28,28,17,16,7
779,16,28,28,17,16,7
780,16,24,28,19,15,7
781,18,21,30,18,16,7
782,18,27,28,18,16,7
783,17,24,27,18,15,7
784,17,26,28,20,14,7
785,19,23,27,20,14,7
786,19,23,27,20,15,7
787,19,23,27,20,15,7
788,15,22,27,21,15,7
789,15,23,27,22,15,7
790,14,23,27,22,15,7
791,14,23,27,20,15,7
792,13,23,27,21,15,7
793,13,23,27,21,15,7
794,14,21,25,11,18,7
795,14,19,31,11,19,7
796,14,18,31,11,19,7
797,14,18,31,11,18,7
798,14,18,31,10,17,7
799,13,19,29,09,16,7
800,13,17,25,11,16,7
801,21,15,28,17,27,8
802,20,18,27,17,23,8
803,19,16,27,15,26,8
804,20,17,26,17,25,8
805,20,18,26,15,25,8
806,19,17,26,19,27,8
807,21,18,28,18,25,8
808,19,18,27,18,26,8
809,20,19,27,19,25,8
810,20,18,27,19,27,8
811,20,18,27,19,27,8
812,20,18,28,19,26,8
813,18,17,28,18,24,8
814,18,17,30,16,22,8
815,17,18,30,19,22,8
816,17,17,30,18,23,8
817,18,17,30,18,21,8
818,18,17,30,19,21,8
819,18,18,30,14,22,8
820,18,16,28,18,22,8
821,17,19,29,18,22,8
822,18,17,27,16,22,8
823,18,17,29,20,21,8
824,18,17,28,19,21,8
825,15,17,27,18,23,8
826,17,17,27,16,21,8
827,19,18,29,19,22,8
828,20,18,27,21,24,8
829,20,21,27,18,15,8
830,20,19,27,15,18,8
831,20,20,30,15,18,8
832,20,22,29,16,16,8
833,21,21,31,17,22,8
834,18,20,31,17,23,8
835,25,18,31,15,22,8
836,25,17,30,13,22,8
837,23,18,28,14,23,8
838,22,18,27,11,23,8
839,22,18,27,12,23,8
840,25,17,25,13,24,8
841,22,17,25,11,23,8
842,25,16,26,13,26,8
843,25,17,27,15,25,8
844,22,17,26,12,25,8
845,25,18,26,13,24,8
846,24,17,27,14,24,8
847,22,17,28,14,24,8
848,23,17,28,14,23,8
849,23,17,27,14,24,8
850,20,20,27,11,18,8
851,18,19,25,13,19,8
852,19,22,24,09,19,8
853,20,22,26,13,19,8
854,21,22,28,13,19,8
855,21,23,27,13,20,8
856,21,24,29,12,20,8
857,22,23,29,14,19,8
858,22,22,27,13,18,8
859,20,22,29,12,19,8
860,21,22,27,14,19,8
861,20,23,28,11,18,8
862,20,23,28,11,18,8
863,19,20,30,12,17,8
864,20,16,30,12,17,8
865,21,21,30,13,18,8
866,22,16,28,12,18,8
867,22,16,31,15,18,8
868,22,17,29,13,18,8
869,21,14,29,13,18,8
870,21,17,30,14,18,8
871,21,14,28,13,16,8
872,20,16,26,12,17,8
873,21,16,29,13,16,8
874,19,16,29,13,16,8
875,20,16,28,13,17,8
876,20,16,28,14,16,8
877,20,16,28,14,16,8
878,20,17,28,13,16,8
879,20,15,29,13,15,8
880,20,15,29,13,15,8
881,20,16,28,14,16,8
882,20,16,28,14,16,8
883,21,18,29,11,18,8
884,23,17,28,14,23,8
885,23,17,27,14,24,8
886,20,20,27,11,18,8
887,18,19,25,13,19,8
888,19,22,24,09,19,8
889,20,22,26,13,19,8
890,21,22,28,13,19,8
891,21,23,27,13,20,8
892,21,24,29,12,20,8
893,22,23,29,14,19,8
894,22,22,27,13,18,8
895,20,22,29,12,19,8
896,21,22,27,14,19,8
897,20,23,28,11,18,8
898,20,23,28,11,18,8
899,19,20,30,12,17,8
900,20,16,30,12,17,8
901,21,18,24,14,25,9
902,22,20,26,15,25,9
903,21,19,25,13,26,9
904,21,19,25,14,26,9
905,22,21,26,14,24,9
906,22,21,26,14,27,9
907,21,20,24,13,25,9
908,21,20,24,13,25,9
909,21,19,24,14,26,9
910,21,19,24,14,25,9
911,21,20,23,15,24,9
912,20,19,24,13,24,9
913,21,19,22,13,23,9
914,27,27,19,16,24,9
915,25,23,18,15,20,9
916,27,24,19,14,24,9
917,28,25,18,15,23,9
918,25,23,18,17,20,9
919,25,23,18,17,20,9
920,25,25,18,18,20,9
921,25,25,18,18,20,9
922,23,25,18,18,21,9
923,25,25,17,15,24,9
924,26,21,21,11,22,9
925,26,21,21,11,22,9
926,28,23,21,11,23,9
927,28,23,21,11,23,9
928,27,24,21,12,23,9
929,26,24,21,12,21,9
930,23,23,20,12,20,9
931,23,21,19,12,20,9
932,19,24,19,12,18,9
933,19,19,18,11,20,9
934,24,21,18,10,21,9
935,24,21,18,10,21,9
936,21,21,18,13,20,9
937,21,21,18,13,20,9
938,19,20,18,10,20,9
939,19,20,18,10,20,9
940,22,24,18,13,21,9
941,22,24,18,13,21,9
942,21,25,20,14,20,9
943,20,25,20,11,20,9
944,21,22,19,14,19,9
945,20,23,19,11,19,9
946,20,23,19,11,19,9
947,21,24,19,13,19,9
948,21,24,19,13,19,9
949,22,22,20,14,21,9
950,21,22,16,10,16,9
951,21,22,15,10,18,9
952,21,21,15,11,18,9
953,21,21,15,11,19,9
954,21,21,15,11,19,9
955,21,20,16,12,18,9
956,21,20,16,12,18,9
957,20,20,18,12,16,9
958,20,20,18,12,16,9
959,21,20,19,09,16,9
960,21,20,19,09,16,9
961,26,17,27,14,16,9
962,24,19,19,17,13,9
963,24,19,19,17,13,9
964,24,18,19,17,13,9
965,24,18,19,17,13,9
966,26,21,21,18,20,9
967,28,21,27,18,24,9
968,28,21,27,18,24,9
969,27,21,27,18,22,9
970,27,21,27,15,22,9
971,29,22,24,15,22,9
972,26,21,27,20,23,9
973,28,21,26,19,24,9
974,28,21,25,16,23,9
975,27,20,25,16,22,9
976,26,19,26,15,21,9
977,27,20,25,15,21,9
978,27,20,25,15,21,9
979,26,21,25,18,23,9
980,26,21,25,18,23,9
981,26,21,26,18,23,9
982,25,19,27,18,22,9
983,26,20,27,19,23,9
984,26,20,27,19,22,9
985,27,20,27,19,20,9
986,26,19,28,18,20,9
987,25,20,27,16,21,9
988,25,19,27,18,21,9
989,25,19,26,18,20,9
990,25,19,26,18,20,9
991,25,19,25,16,21,9
992,26,18,26,18,20,9
993,25,19,27,17,20,9
994,25,19,27,17,20,9
995,25,19,27,18,16,9
996,24,18,27,17,19,9
997,25,19,27,18,21,9
